"","Outcome, Arm","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln IL-1beta/IL-10"," "," "," "
"2","Control"," "," "," "
"3","Nutrition + WSH","-0.07(-0.28, 0.13)","-0.05(-0.26, 0.15)","-0.07(-0.28, 0.14)"
"4","Ln IL-6/IL-10"," "," "," "
"5","Control"," "," "," "
"6","Nutrition + WSH","-0.15(-0.36, 0.07)","-0.13(-0.34, 0.09)","-0.11(-0.31, 0.09)"
"7","Ln TNF-alpha/IL-10"," "," "," "
"8","Control"," "," "," "
"9","Nutrition + WSH","-0.09(-0.2, 0.02)","-0.07(-0.19, 0.04)","-0.07(-0.18, 0.04)"
"10","Ln IL-12/IL-10"," "," "," "
"11","Control"," "," "," "
"12","Nutrition + WSH","-0.05(-0.17, 0.06)","-0.04(-0.16, 0.08)","-0.02(-0.14, 0.09)"
"13","Ln IFN-gamma/IL-10"," "," "," "
"14","Control"," "," "," "
"15","Nutrition + WSH","-0.07(-0.18, 0.05)","-0.05(-0.16, 0.07)","-0.04(-0.15, 0.07)"
"16","Ln IL-4/IL-10"," "," "," "
"17","Control"," "," "," "
"18","Nutrition + WSH","-0.12(-0.26, 0.02)","-0.1(-0.24, 0.04)","-0.08(-0.22, 0.06)"
"19","Ln IL-5/IL-10"," "," "," "
"20","Control"," "," "," "
"21","Nutrition + WSH","-0.12(-0.26, 0.02)","-0.11(-0.25, 0.03)","-0.11(-0.25, 0.02)"
"22","Ln IL-13/IL-10"," "," "," "
"23","Control"," "," "," "
"24","Nutrition + WSH","0(-0.2, 0.21)","0(-0.2, 0.21)","-0.01(-0.19, 0.17)"
"25","Ln IL-17A/IL-10"," "," "," "
"26","Control"," "," "," "
"27","Nutrition + WSH","-0.08(-0.18, 0.02)","-0.06(-0.16, 0.04)","-0.05(-0.14, 0.04)"
"28","Ln IL-21/IL-10"," "," "," "
"29","Control"," "," "," "
"30","Nutrition + WSH","-0.21(-0.42, 0.01)","-0.21(-0.42, 0.01)","-0.18(-0.39, 0.02)"
"31","Ln IL-2/IL-10"," "," "," "
"32","Control"," "," "," "
"33","Nutrition + WSH","-0.22(-0.47, 0.02)","-0.2(-0.45, 0.05)","-0.2(-0.45, 0.05)"
"34","Ln GM-CSF/IL-10"," "," "," "
"35","Control"," "," "," "
"36","Nutrition + WSH","-0.08(-0.26, 0.09)","-0.07(-0.25, 0.11)","-0.09(-0.24, 0.07)"
"37","Ln IL-12/IL-4"," "," "," "
"38","Control"," "," "," "
"39","Nutrition + WSH","0.08(-0.04, 0.19)","0.08(-0.04, 0.19)","0.08(-0.03, 0.19)"
"40","Ln IFN-gamma/IL-4"," "," "," "
"41","Control"," "," "," "
"42","Nutrition + WSH","0.06(-0.05, 0.16)","0.06(-0.05, 0.16)","0.06(-0.05, 0.16)"
"43","Ln IL-12/IL-5"," "," "," "
"44","Control"," "," "," "
"45","Nutrition + WSH","0.07(-0.09, 0.24)","0.07(-0.09, 0.24)","0.07(-0.09, 0.24)"
"46","Ln IFN-gamma/IL-5"," "," "," "
"47","Control"," "," "," "
"48","Nutrition + WSH","0.05(-0.1, 0.21)","0.05(-0.1, 0.21)","0.05(-0.1, 0.2)"
"49","Ln IL-12/IL-13"," "," "," "
"50","Control"," "," "," "
"51","Nutrition + WSH","-0.04(-0.21, 0.14)","-0.03(-0.21, 0.15)","-0.01(-0.17, 0.15)"
"52","Ln IFN-gamma/IL-13"," "," "," "
"53","Control"," "," "," "
"54","Nutrition + WSH","-0.06(-0.23, 0.12)","-0.05(-0.22, 0.13)","-0.03(-0.18, 0.12)"
"55","Ln IL-12/IL-17A"," "," "," "
"56","Control"," "," "," "
"57","Nutrition + WSH","0.04(-0.06, 0.14)","0.04(-0.06, 0.14)","0.04(-0.05, 0.13)"
"58","Ln IFN-gamma/IL-17A"," "," "," "
"59","Control"," "," "," "
"60","Nutrition + WSH","0.02(-0.09, 0.13)","0.02(-0.09, 0.13)","0.02(-0.08, 0.13)"
"61","Ln IL-12/IL-21"," "," "," "
"62","Control"," "," "," "
"63","Nutrition + WSH","0.17(-0.05, 0.38)","0.17(-0.05, 0.38)","0.17(-0.02, 0.37)"
"64","Ln IFN-gamma/IL-21"," "," "," "
"65","Control"," "," "," "
"66","Nutrition + WSH","0.15(-0.06, 0.35)","0.15(-0.06, 0.35)","0.15(-0.05, 0.36)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," "," "
"68","Control"," "," "," "
"69","Nutrition + WSH","20.47(-53.28, 94.21)","20.47(-53.28, 94.21)","21.28(-53.23, 95.79)"
"70","Ln Th1**/IL-10"," "," "," "
"71","Control"," "," "," "
"72","Nutrition + WSH","3.71(-28.34, 35.76)","3.71(-28.34, 35.76)","4.76(-27.12, 36.63)"
"73","Ln Th2***/IL-10"," "," "," "
"74","Control"," "," "," "
"75","Nutrition + WSH","-34.75(-77.94, 8.44)","-34.75(-77.94, 8.44)","-33.48(-76.86, 9.9)"
"76","Ln Th17****/IL-10"," "," "," "
"77","Control"," "," "," "
"78","Nutrition + WSH","9.95(-17.71, 37.61)","9.95(-17.71, 37.61)","11.48(-18.29, 41.26)"
"79","Ln Th1**/Th2***"," "," "," "
"80","Control"," "," "," "
"81","Nutrition + WSH","1.14(-0.73, 3.01)","1.14(-0.73, 3.01)","1.08(-0.71, 2.87)"
"82","Ln Th1**/Th17****"," "," "," "
"83","Control"," "," "," "
"84","Nutrition + WSH","2.12(-0.62, 4.85)","1.95(-0.62, 4.53)","2.19(-0.76, 5.14)"
